username: xjq6xy	password: JDlkMTZK
username: q7m8a7	password: dGNeKFaK
username: ly4h2r	password: HBMoiyyV
username: tx5wdn	password: eh1Nynas
username: qkxhsh	password: SPwni9jo
username: unvowm	password: d8yCkTyB
username: _gx1_g	password: z5CeCu4b
username: qit2l1	password: d3ZXJma9
username: wfoqft	password: djU4gvRb
------------------增加密码加密功能--------------------------
username: sk_spl	password: e31c3ea40f470dc00981b57534c40e0d
username: jejajz	password: f2d181d9bffac56010896e9f22544637
username: kwl1ix	password: c8fe8166a33a8dc149507d8e314d2fb8
username: b523s_	password: 58f3e32660378e074a34089057ece476
username: yg9px8	password: 3d02b1770ecaf1994567fc77dd35f90a
username: ynp56z	password: 5591ff5671d93e9db0bb2de6f4c8508b
username: z78ew5	password: 0af895881bd55a6c62fd45871241b17c
username: i_xx_6	password: 2c9936c44a97728db3d577961b5e6ba6
username: snfimx	password: 92e153c933c0508868b8a3a3b9568ad8
username: qoffsb	password: a543b77299ba6f6c909fe4455a2fd23c
------------------注册功能测试--------------------------
username: hhh123	password: 123456
username: hhhhhh	password: 213456
username: root123	password: root1234
username: fadedd	password: 123456
username: root123	password: aabb2100033f0352fe7458e412495148
username: tianen	password: 70b5459fcd880fa91628c491adcc47fa
username: root456	password: aabb2100033f0352fe7458e412495148
